item,label
141560,Regulatory T cells
141561,CD163n_Mac [M1]
141562,Memory B cells
141563,Memory B cells
141564,Regulatory T cells
141565,Regulatory T cells
141566,Memory B cells
141567,Regulatory T cells
141568,Regulatory T cells
141569,Memory B cells
141570,Regulatory T cells
141571,Memory B cells
141572,Memory B cells
141573,Memory B cells
141574,Regulatory T cells
141575,CD163n_Mac [M1]
141576,Regulatory T cells
141577,Regulatory T cells
141578,Regulatory T cells
141579,Memory B cells
141580,Regulatory T cells
141581,Regulatory T cells
141582,Memory B cells
141583,Neutrophil&monocyte
141584,Regulatory T cells
141585,Regulatory T cells
141586,Regulatory T cells
141587,Memory B cells
141588,Regulatory T cells
141589,Memory B cells
141590,Memory B cells
141591,Memory B cells
141592,Regulatory T cells
141593,Memory T cells
141594,Regulatory T cells
141595,Regulatory T cells
141596,Regulatory T cells
141597,NK and CD8 Tcell
141598,Regulatory T cells
141599,Memory B cells
141600,Regulatory T cells
141601,Memory B cells
141602,Regulatory T cells
141603,Regulatory T cells
141604,Regulatory T cells
141605,Memory B cells
141606,Regulatory T cells
141607,Memory B cells
141608,Regulatory T cells
141609,Regulatory T cells
141610,Memory B cells
141611,Regulatory T cells
141612,Regulatory T cells
141613,Memory B cells
141614,Regulatory T cells
141615,Memory B cells
141616,Regulatory T cells
141617,Regulatory T cells
141618,Regulatory T cells
141619,Regulatory T cells
141620,Regulatory T cells
141621,CD163n_Mac [M1]
141622,Regulatory T cells
141623,Regulatory T cells
141624,Regulatory T cells
141625,Regulatory T cells
141626,Memory B cells
141627,Memory B cells
141628,Memory B cells
141629,Memory B cells
141630,Regulatory T cells
141631,Regulatory T cells
141632,Regulatory T cells
141633,Regulatory T cells
141634,Regulatory T cells
141635,Memory B cells
141636,Regulatory T cells
141637,Memory B cells
141638,Memory B cells
141639,Regulatory T cells
141640,Memory B cells
141641,Regulatory T cells
141642,Regulatory T cells
141643,Regulatory T cells
141644,Regulatory T cells
141645,Regulatory T cells
141646,Regulatory T cells
141647,Regulatory T cells
141648,Regulatory T cells
141649,Regulatory T cells
141650,Memory B cells
141651,Memory B cells
141652,Regulatory T cells
141653,Regulatory T cells
141654,Regulatory T cells
141655,Regulatory T cells
141656,Naive CD8 T cells
141657,Memory B cells
141658,Regulatory T cells
141659,Regulatory T cells
141660,Memory B cells
141661,Regulatory T cells
141662,Regulatory T cells
141663,Regulatory T cells
